"Name","Depth","DistinguishedName","Link Order","GPO","Enforced","Link Enabled","BlockInheritance","gPLink","gPOptions"
"Cancer Genetics","3","OU=Cancer Genetics,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Hawc","3","OU=Hawc,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Netskope","6","OU=Netskope,OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"I.T. Services","5","OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","2","Print Add Test","False","True","False","[LDAP://CN={62EEEB76-5F25-4DD0-B452-D8100263CE59},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={24A25BFD-7175-40CD-BE80-833A0E0A694A},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"I.T. Services","5","OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","Delete Roaming Profiles","False","True","False","[LDAP://CN={62EEEB76-5F25-4DD0-B452-D8100263CE59},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={24A25BFD-7175-40CD-BE80-833A0E0A694A},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"ERA","3","OU=ERA,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Service Accounts","1","OU=Service Accounts,DC=solomonedwards,DC=com",,,,,"True"," ","1"
"FlowServe","3","OU=FlowServe,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Domain Controllers","1","OU=Domain Controllers,DC=solomonedwards,DC=com","1","Default Domain Controllers Policy","False","True","False","[LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]",""
"FlowServe Contacts","4","OU=FlowServe Contacts,OU=FlowServe,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"TX - Houston","3","OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"LGM","3","OU=LGM,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Consulting","4","OU=Consulting,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Inova","3","OU=Inova,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"FTE Consultants","5","OU=FTE Consultants,OU=Consulting,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Rand Logistics","3","OU=Rand Logistics,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"- Corporate Executives","3","OU=- Corporate Executives,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Phoenix Services","3","OU=Phoenix Services,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Rapidscale","1","OU=Rapidscale,DC=solomonedwards,DC=com",,,,,"True"," ","1"
"Renpure","3","OU=Renpure,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Service Accounts","2","OU=Service Accounts,OU=Rapidscale,DC=solomonedwards,DC=com",,,,,"False","",""
"test","3","OU=test,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","MSEdge","False","True","False","[LDAP://cn={E39CD0E3-1784-4734-9C9B-173E33E1B344},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"Z - Company Groups","3","OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","GPLogin","False","True","False","[LDAP://CN={9C7B9CBA-2482-4BED-B4EE-1D08A51950B1},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Allowed Vendors","2","OU=Allowed Vendors,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"1803 test","2","OU=1803 test,OU=Domain Controllers,DC=solomonedwards,DC=com","1","Windows 1803 WO","False","True","False","[LDAP://cn={CAE0F1FC-EB52-43C8-83DC-4A90531DC2B5},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"SP_Accounts","2","OU=SP_Accounts,OU=Service Accounts,DC=solomonedwards,DC=com",,,,,"False","",""
"Press Ganey","3","OU=Press Ganey,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Servers","2","OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com",,,,,"False","",""
"Berkadia","3","OU=Berkadia,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"ExtraTeam Users","2","OU=ExtraTeam Users,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Anexinet","3","OU=Anexinet,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
