"Name","Depth","DistinguishedName","Link Order","GPO","Enforced","Link Enabled","BlockInheritance","gPLink","gPOptions"
"XenDesktop","3","OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","7","Citrix Xendesktop Computer Settings","False","True","False","[LDAP://cn={effe7c20-167d-4b35-a0aa-35e824cbb6f4},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B65D0BAD-F897-4564-A0CB-A2E256230CF8},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F88CAB22-65B1-4C31-9D7D-923D23D41012},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7C9DC804-CA54-443B-A0F0-B990525C3015},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7A0A5B01-60DD-4310-8651-997BA90525D3},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F938D816-0410-422D-9E79-106F58C7A8A5},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={704A9657-FEDF-4F09-B34F-EBD6D17F478E},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"XenDesktop","3","OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","6","Citrix VDA Non-Admin Users (lockdown)","False","True","False","[LDAP://cn={effe7c20-167d-4b35-a0aa-35e824cbb6f4},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B65D0BAD-F897-4564-A0CB-A2E256230CF8},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F88CAB22-65B1-4C31-9D7D-923D23D41012},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7C9DC804-CA54-443B-A0F0-B990525C3015},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7A0A5B01-60DD-4310-8651-997BA90525D3},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F938D816-0410-422D-9E79-106F58C7A8A5},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={704A9657-FEDF-4F09-B34F-EBD6D17F478E},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"XenDesktop","3","OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","5","Citrix VDA All Users (including admins)","False","True","False","[LDAP://cn={effe7c20-167d-4b35-a0aa-35e824cbb6f4},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B65D0BAD-F897-4564-A0CB-A2E256230CF8},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F88CAB22-65B1-4C31-9D7D-923D23D41012},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7C9DC804-CA54-443B-A0F0-B990525C3015},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7A0A5B01-60DD-4310-8651-997BA90525D3},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F938D816-0410-422D-9E79-106F58C7A8A5},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={704A9657-FEDF-4F09-B34F-EBD6D17F478E},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"XenDesktop","3","OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","4","Citrix Adobe Customizations","False","True","False","[LDAP://cn={effe7c20-167d-4b35-a0aa-35e824cbb6f4},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B65D0BAD-F897-4564-A0CB-A2E256230CF8},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F88CAB22-65B1-4C31-9D7D-923D23D41012},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7C9DC804-CA54-443B-A0F0-B990525C3015},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7A0A5B01-60DD-4310-8651-997BA90525D3},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F938D816-0410-422D-9E79-106F58C7A8A5},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={704A9657-FEDF-4F09-B34F-EBD6D17F478E},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"XenDesktop","3","OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","3","Citrix Office 2016 Optimization","False","True","False","[LDAP://cn={effe7c20-167d-4b35-a0aa-35e824cbb6f4},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B65D0BAD-F897-4564-A0CB-A2E256230CF8},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F88CAB22-65B1-4C31-9D7D-923D23D41012},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7C9DC804-CA54-443B-A0F0-B990525C3015},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7A0A5B01-60DD-4310-8651-997BA90525D3},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F938D816-0410-422D-9E79-106F58C7A8A5},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={704A9657-FEDF-4F09-B34F-EBD6D17F478E},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"XenDesktop","3","OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","2","Citrix VDA Computer Settings","False","True","False","[LDAP://cn={effe7c20-167d-4b35-a0aa-35e824cbb6f4},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B65D0BAD-F897-4564-A0CB-A2E256230CF8},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F88CAB22-65B1-4C31-9D7D-923D23D41012},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7C9DC804-CA54-443B-A0F0-B990525C3015},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7A0A5B01-60DD-4310-8651-997BA90525D3},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F938D816-0410-422D-9E79-106F58C7A8A5},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={704A9657-FEDF-4F09-B34F-EBD6D17F478E},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"XenDesktop","3","OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","1","Citrix Delete Timebomb","False","True","False","[LDAP://cn={effe7c20-167d-4b35-a0aa-35e824cbb6f4},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B65D0BAD-F897-4564-A0CB-A2E256230CF8},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F88CAB22-65B1-4C31-9D7D-923D23D41012},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7C9DC804-CA54-443B-A0F0-B990525C3015},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7A0A5B01-60DD-4310-8651-997BA90525D3},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F938D816-0410-422D-9E79-106F58C7A8A5},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={704A9657-FEDF-4F09-B34F-EBD6D17F478E},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"SessionHosts","4","OU=SessionHosts,OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","1","RS_Citrix Graceful Logoff","False","True","False","[LDAP://cn={052582F5-BD5D-4BC6-8A67-79C31BE3AD01},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"BulkUserImport","2","OU=BulkUserImport,OU=TestUsers,DC=solomonedwards,DC=com",,,,,"False","",""
"Quad","1","OU=Quad,DC=solomonedwards,DC=com",,,,,"False","",""
"Consulting","4","OU=Consulting,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"QuadGroups","2","OU=QuadGroups,OU=Quad,DC=solomonedwards,DC=com",,,,,"False","",""
"Quad Desktops","2","OU=Quad Desktops,OU=Quad,DC=solomonedwards,DC=com",,,,,"False","",""
"Interim Consultants","5","OU=Interim Consultants,OU=Consulting,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Quad","3","OU=Quad,OU=Ex-Employees,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"PHL Interim","6","OU=PHL Interim,OU=Interim Consultants,OU=Consulting,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Ed's Special Project","4","OU=Ed's Special Project,OU=- Corporate Executives,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Banking","4","OU=Banking,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"bball group","4","OU=bball group,OU=- Corporate Executives,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Project Consultants","5","OU=Project Consultants,OU=Banking,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","SEGConultantWebsite ","False","True","False","[LDAP://cn={1360A23E-E9AE-41A8-A310-A6CAE04F4016},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"Repoint","3","OU=Repoint,OU=Allowed Vendors,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"QUAD Interim","6","OU=QUAD Interim,OU=Interim Consultants,OU=Consulting,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Azure","2","OU=Azure,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SF - Collabrus","4","OU=SF - Collabrus,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SF-SEG-consultants","4","OU=SF-SEG-consultants,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Project Consultants","5","OU=Project Consultants,OU=Consulting,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","SEGConultantWebsite ","True","True","False","[LDAP://cn={1360A23E-E9AE-41A8-A310-A6CAE04F4016},cn=policies,cn=system,DC=solomonedwards,DC=com;2]",""
"ILL - Chicago","3","OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Perm Recruiters","4","OU=Perm Recruiters,OU=NJ - New Jersey,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Consulting","4","OU=Consulting,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Temp Recruiters","4","OU=Temp Recruiters,OU=NJ - New Jersey,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Project Consultants","5","OU=Project Consultants,OU=Consulting,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","SEGConultantWebsite ","True","True","False","[LDAP://cn={1360A23E-E9AE-41A8-A310-A6CAE04F4016},cn=policies,cn=system,DC=solomonedwards,DC=com;2]",""
"Admin Staff","4","OU=Admin Staff,OU=NY - New York,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"FTE Consultants","5","OU=FTE Consultants,OU=Consulting,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Perm Recruiters","4","OU=Perm Recruiters,OU=NY - New York,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"TX - Dallas","3","OU=TX - Dallas,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Temp Recruiters","4","OU=Temp Recruiters,OU=NY - New York,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Admin Staff","4","OU=Admin Staff,OU=TX - Dallas,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Inner Office","5","OU=Inner Office,OU=Consulting,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Inner Office","5","OU=Inner Office,OU=Consulting,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"FTE Consultants","5","OU=FTE Consultants,OU=Banking,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Perm Recruiters","4","OU=Perm Recruiters,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Finance","5","OU=Finance,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False"," ",""
"E&Y","2","OU=E&Y,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Temp Recruiters","4","OU=Temp Recruiters,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Perm Recruiters","4","OU=Perm Recruiters,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False"," ","0"
"SEG Computers","1","OU=SEG Computers,DC=solomonedwards,DC=com","1","Remote Access","False","True","False","[LDAP://CN={7C1088A6-0F24-45C8-9AD0-79C7E43A56C9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Temp Recruiters","4","OU=Temp Recruiters,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SolomonEdwardsGroup","1","OU=SolomonEdwardsGroup,DC=solomonedwards,DC=com",,,,,"False","",""
"test","4","OU=test,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","SEGConultantWebsite ","True","True","False","[LDAP://cn={1360A23E-E9AE-41A8-A310-A6CAE04F4016},cn=policies,cn=system,DC=solomonedwards,DC=com;2]",""
"TestUsers","1","OU=TestUsers,DC=solomonedwards,DC=com","1","{5FC583E8-FEF8-491A-843C-F1DF321637E5}","False","True","False","[LDAP://CN={5FC583E8-FEF8-491A-843C-F1DF321637E5},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"SolomonEdwardsGroup","2","OU=SolomonEdwardsGroup,OU=TestUsers,DC=solomonedwards,DC=com",,,,,"False","",""
"Project Consultants","5","OU=Project Consultants,OU=Consulting,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","SEGConultantWebsite ","True","True","False","[LDAP://cn={1360A23E-E9AE-41A8-A310-A6CAE04F4016},cn=policies,cn=system,DC=solomonedwards,DC=com;2]",""
"SolomonEdwardsGroup","3","OU=SolomonEdwardsGroup,OU=SolomonEdwardsGroup,OU=TestUsers,DC=solomonedwards,DC=com",,,,,"False","",""
"Project Consultants","5","OU=Project Consultants,OU=Consulting,OU=NY - New York,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","SEGConultantWebsite ","True","True","False","[LDAP://cn={1360A23E-E9AE-41A8-A310-A6CAE04F4016},cn=policies,cn=system,DC=solomonedwards,DC=com;2]",""
"z - Groups","4","OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Project Consultants","6","OU=Project Consultants,OU=Consulting,OU=Admin Staff,OU=NJ - New Jersey,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","SEGConultantWebsite ","True","True","False","[LDAP://cn={1360A23E-E9AE-41A8-A310-A6CAE04F4016},cn=policies,cn=system,DC=solomonedwards,DC=com;2]",""
"Mail Enable Security Groups","5","OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"OrbitalATK","3","OU=OrbitalATK,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SignatureNY","3","OU=SignatureNY,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"VTS","3","OU=VTS,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Armstrong Flooring","3","OU=Armstrong Flooring,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Lawyers Involved","3","OU=Lawyers Involved,OU=Ex-Employees,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"EY","3","OU=EY,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Consultants","5","OU=Consultants,OU=Consulting,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"RFI","3","OU=RFI,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Consulting","4","OU=Consulting,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Enersys","3","OU=Enersys,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"z - Groups","4","OU=z - Groups,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"ICTSI","3","OU=ICTSI,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Distribution Groups","5","OU=Distribution Groups,OU=z - Groups,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"KPMG","3","OU=KPMG,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Resources","3","OU=Resources,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Magna5","3","OU=Magna5,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SEG Computers TEST OU","2","OU=SEG Computers TEST OU,OU=SEG Computers,DC=solomonedwards,DC=com",,,,,"False"," ","0"
"Appsense","6","OU=Appsense,OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"FDIC - Project Consultants","2","OU=FDIC - Project Consultants,OU=Organizational Units,DC=solomonedwards,DC=com","1","Default TS Settings","False","True","False","[LDAP://CN={77CF2806-152F-40EF-9B17-1CB783EBB863},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Groups","3","OU=Groups,OU=FDIC - Project Consultants,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False"," ","0"
"Groups","6","OU=Groups,OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"InfoNet Access","4","OU=InfoNet Access,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"WSUS Computers","1","OU=WSUS Computers,DC=solomonedwards,DC=com","1","PHLPST02 WSUS","False","True","False","[LDAP://CN={0FCDA1F5-2D72-43B3-8ECC-FD868EC4DB34},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Currently Working","1","OU=Currently Working,DC=solomonedwards,DC=com",,,,,"False","",""
"SBA","2","OU=SBA,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Mail Enabled Security Groups","5","OU=Mail Enabled Security Groups,OU=z - Groups,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Sharepoint Groups","2","OU=Sharepoint Groups,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Travel","5","OU=Travel,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"GA - Atlanta","3","OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Inner Office","5","OU=Inner Office,OU=Consulting,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Exchange Features Removed","3","OU=Exchange Features Removed,OU=Ex-Employees,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Inner Office","5","OU=Inner Office,OU=Consulting,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SBA Project","3","OU=SBA Project,OU=SBA,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Marketing","5","OU=Marketing,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","{7F1C33CC-7D69-4D78-8356-310F6E580951}","False","True","False","[LDAP://CN={7F1C33CC-7D69-4D78-8356-310F6E580951},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"H.R.","5","OU=H.R.,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Telemarketer","4","OU=Telemarketer,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False"," ",""
"z - Groups","4","OU=z - Groups,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Baumstein","3","OU=Baumstein,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Mail Enabled Security Groups","5","OU=Mail Enabled Security Groups,OU=z - Groups,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"NJ - New Jersey","3","OU=NJ - New Jersey,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Distribution Groups","5","OU=Distribution Groups,OU=z - Groups,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Admin Staff","4","OU=Admin Staff,OU=NJ - New Jersey,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
