"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","whenCreated","whenChanged","showInAdvancedViewOnly","DistinguishedName"
"solomonedwards.com","LVTP14G2-002344","A","192.168.12.155","1200","3697601","10/27/2022 5:00:00 PM","2016456","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTP14G2-002344,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","PHLM-L-E540SF6H","A","192.168.86.21","1200","3697792","11/4/2022 4:00:00 PM","2016706","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=PHLM-L-E540SF6H,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTP14G2-002346","A","192.168.1.43","1200","3692391","3/24/2022 3:00:00 PM","2010110","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTP14G2-002346,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","HOUC-L-840B1HT","A","192.168.12.164","1200","3658456","5/10/2018 4:00:00 PM","1927526","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-840B1HT,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","HOUC-L-840FBHU","A","192.168.0.166","1200","3630356","2/24/2015 8:00:00 PM","178954","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-840FBHU,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTP14G2-002420","A","192.168.86.32","1200","3697095","10/6/2022 3:00:00 PM","2015697","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTP14G2-002420,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","HOUC-L-84602B3P","A","192.168.12.123","1200","3641847","6/17/2016 3:00:00 PM","1834229","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-84602B3P,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTB14G2-002419","AAAA","fd8a:2265:056d:0001:7c96:60b9:360a:35eb","1200","3721409","7/15/2025 5:00:00 PM","2047098","7/11/2025 5:48:51 PM","7/15/2025 5:13:02 PM","True","DC=LVTB14G2-002419,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","HOUC-L-8460B7S0","A","192.168.12.159","1200","3641582","6/6/2016 2:00:00 PM","1801070","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-8460B7S0,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTP14G2-002422","A","10.32.254.200","1200","3701916","4/25/2023 12:00:00 PM","2022125","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTP14G2-002422,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTP14G2-002423","A","192.168.12.170","1200","3697603","10/27/2022 7:00:00 PM","2016470","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTP14G2-002423,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","phlnas03old","A","10.32.124.68","1200","3674254","2/27/2020 10:00:00 PM","1981944","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=phlnas03old,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","HOUC-L-8460B8HY","A","192.168.121.101","1200","3629824","2/2/2015 4:00:00 PM","154505","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-8460B8HY,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTP14G2-002424","A","192.168.86.39","1200","3697790","11/4/2022 2:00:00 PM","2016703","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTP14G2-002424,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","HOUC-L-8460B8PY","A","192.168.12.172","1200","3645978","12/6/2016 6:00:00 PM","1875366","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-8460B8PY,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTP14G2-002425","A","10.32.254.205","1200","3702114","5/3/2023 6:00:00 PM","2022371","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTP14G2-002425,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","PHLOWA01","A","192.168.1.37","1200","3631600","4/17/2015 4:00:00 PM","279301","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=PHLOWA01,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LAPTOP-4QI4E83B","A","192.168.1.133","900","3719726","5/6/2025 2:00:00 PM","2046083","5/6/2025 2:29:48 PM","5/6/2025 2:29:48 PM","True","DC=LAPTOP-4QI4E83B,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","HOUC-L-8460B933","A","192.168.0.185","1200","3631696","4/21/2015 4:00:00 PM","283995","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-8460B933,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
