"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"top","ms-DS-Password-Settings-Precedence","6/22/2011 3:47:56 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Password-Settings-Precedence,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Is-Full-Replica-For","6/22/2011 3:45:37 PM","5/13/2021 2:39:02 PM","CN=ms-DS-Is-Full-Replica-For,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","MS-DS-Per-User-Trust-Quota","1/28/2007 6:52:37 AM","5/13/2021 2:39:03 PM","CN=MS-DS-Per-User-Trust-Quota,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Is-Member-Of-DL-Transitive","11/15/2017 4:32:10 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Is-Member-Of-DL-Transitive,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","MS-DS-Per-User-Trust-Tombstones-Quota","1/28/2007 6:52:38 AM","5/13/2021 2:39:03 PM","CN=MS-DS-Per-User-Trust-Tombstones-Quota,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Is-Partial-Replica-For","6/22/2011 3:45:38 PM","5/13/2021 2:39:02 PM","CN=ms-DS-Is-Partial-Replica-For,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Phonetic-Company-Name","6/22/2011 3:46:04 PM","5/13/2021 2:39:04 PM","CN=ms-DS-Phonetic-Company-Name,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Is-Possible-Values-Present","8/23/2014 2:47:05 AM","5/13/2021 2:39:05 PM","CN=ms-DS-Is-Possible-Values-Present,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Phonetic-Department","6/22/2011 3:46:02 PM","5/13/2021 2:39:04 PM","CN=ms-DS-Phonetic-Department,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Is-Primary-Computer-For","8/23/2014 2:47:04 AM","5/13/2021 2:39:05 PM","CN=ms-DS-Is-Primary-Computer-For,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Phonetic-Display-Name","6/22/2011 3:46:03 PM","5/13/2021 2:39:04 PM","CN=ms-DS-Phonetic-Display-Name,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Is-Used-As-Resource-Security-Attribute","8/23/2014 2:46:56 AM","5/13/2021 2:39:05 PM","CN=ms-DS-Is-Used-As-Resource-Security-Attribute,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Phonetic-First-Name","6/22/2011 3:46:00 PM","5/13/2021 2:39:04 PM","CN=ms-DS-Phonetic-First-Name,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Is-User-Cachable-At-Rodc","6/22/2011 3:48:04 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Is-User-Cachable-At-Rodc,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
