"DisplayName","GUID","whenCreated","whenChanged","DistinguishedName","FilePath"
"Post ADMT Migration","{EAC4D18A-0BC5-4622-B6AF-2BE9E8262020}","9/25/2013 8:31:41 PM","5/13/2021 2:40:18 PM","CN={EAC4D18A-0BC5-4622-B6AF-2BE9E8262020},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{EAC4D18A-0BC5-4622-B6AF-2BE9E8262020}"
"Post-Migration GPO","{48F45D60-4E7E-4E48-B352-3DC82A18646A}","11/27/2013 1:13:34 AM","5/13/2021 2:40:18 PM","CN={48F45D60-4E7E-4E48-B352-3DC82A18646A},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{48F45D60-4E7E-4E48-B352-3DC82A18646A}"
"ComputerLockDown","{7D8C37F2-03C8-49FA-82EC-ADF61A010DB9}","2/20/2014 5:46:15 PM","5/13/2021 2:40:18 PM","CN={7D8C37F2-03C8-49FA-82EC-ADF61A010DB9},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{7D8C37F2-03C8-49FA-82EC-ADF61A010DB9}"
"SharePointIESettings","{5ABDEC84-8135-4558-B8B8-4A83249C8F34}","3/18/2014 6:43:58 PM","5/13/2021 2:40:18 PM","CN={5ABDEC84-8135-4558-B8B8-4A83249C8F34},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{5ABDEC84-8135-4558-B8B8-4A83249C8F34}"
"Segway","{BD1F909B-4ED7-42A1-9AD3-5656D9E18320}","4/17/2014 8:03:09 PM","5/13/2021 2:40:18 PM","CN={BD1F909B-4ED7-42A1-9AD3-5656D9E18320},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{BD1F909B-4ED7-42A1-9AD3-5656D9E18320}"
"XML","{C3A35747-FDFF-446D-B03A-0C5BAEAD3345}","6/19/2014 4:36:10 PM","5/13/2021 2:40:18 PM","CN={C3A35747-FDFF-446D-B03A-0C5BAEAD3345},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{C3A35747-FDFF-446D-B03A-0C5BAEAD3345}"
"OfficeColorTheme","{00C0E09B-1859-4410-AB30-56949270119F}","10/14/2014 10:07:19 PM","5/13/2021 2:40:20 PM","CN={00C0E09B-1859-4410-AB30-56949270119F},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{00C0E09B-1859-4410-AB30-56949270119F}"
"Accounting Drive","{9E3F9853-3987-4118-ABBD-A97155F7A28A}","12/2/2014 4:58:03 PM","5/13/2021 2:40:20 PM","CN={9E3F9853-3987-4118-ABBD-A97155F7A28A},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{9E3F9853-3987-4118-ABBD-A97155F7A28A}"
"Disable Windows Updates","{EAEFF5A0-604F-4215-83F0-86722C9C6C3A}","12/5/2014 12:10:46 AM","5/13/2021 2:40:20 PM","CN={EAEFF5A0-604F-4215-83F0-86722C9C6C3A},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{EAEFF5A0-604F-4215-83F0-86722C9C6C3A}"
"Mapping Accounting Share","{B334D1FF-83E6-4E60-877E-4796F562A8E6}","12/5/2014 11:08:15 PM","5/13/2021 2:40:20 PM","CN={B334D1FF-83E6-4E60-877E-4796F562A8E6},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{B334D1FF-83E6-4E60-877E-4796F562A8E6}"
"solomonedwards.com_ADAuditPlusPolicy","{86C92A8B-1464-4005-ACB8-298EA2F2C882}","10/29/2015 8:22:19 PM","5/13/2021 2:40:23 PM","CN={86C92A8B-1464-4005-ACB8-298EA2F2C882},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{86C92A8B-1464-4005-ACB8-298EA2F2C882}"
"SEGConultantWebsite","{1360A23E-E9AE-41A8-A310-A6CAE04F4016}","10/21/2016 6:21:04 PM","5/13/2021 2:40:23 PM","CN={1360A23E-E9AE-41A8-A310-A6CAE04F4016},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{1360A23E-E9AE-41A8-A310-A6CAE04F4016}"
"SFConultantWebsite","{A0FA551E-6392-4614-B7AF-DFB86E65AB25}","10/25/2016 4:41:44 PM","5/13/2021 2:40:23 PM","CN={A0FA551E-6392-4614-B7AF-DFB86E65AB25},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{A0FA551E-6392-4614-B7AF-DFB86E65AB25}"
"solomonedwards.com_ADAuditPlusWSPolicy","{931B76A3-6D98-408C-8261-DFAC2C31B6DD}","8/18/2017 2:48:42 PM","5/13/2021 2:40:26 PM","CN={931B76A3-6D98-408C-8261-DFAC2C31B6DD},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{931B76A3-6D98-408C-8261-DFAC2C31B6DD}"
"Advanced IE","{2DA97372-E11E-46B9-BAB5-7F05CD30D0FA}","4/18/2018 7:43:13 PM","5/13/2021 2:40:28 PM","CN={2DA97372-E11E-46B9-BAB5-7F05CD30D0FA},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{2DA97372-E11E-46B9-BAB5-7F05CD30D0FA}"
"MSEdge","{E39CD0E3-1784-4734-9C9B-173E33E1B344}","4/19/2018 5:57:21 PM","5/13/2021 2:40:28 PM","CN={E39CD0E3-1784-4734-9C9B-173E33E1B344},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{E39CD0E3-1784-4734-9C9B-173E33E1B344}"
"Windows 1803 WO","{CAE0F1FC-EB52-43C8-83DC-4A90531DC2B5}","5/18/2018 5:03:08 PM","5/13/2021 2:40:28 PM","CN={CAE0F1FC-EB52-43C8-83DC-4A90531DC2B5},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{CAE0F1FC-EB52-43C8-83DC-4A90531DC2B5}"
"Citrix Adobe Customizations","{AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F}","9/9/2019 1:25:06 PM","5/13/2021 2:40:31 PM","CN={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F}"
"Citrix UPM","{F88CAB22-65B1-4C31-9D7D-923D23D41012}","9/9/2019 1:25:08 PM","6/19/2023 1:26:01 PM","CN={F88CAB22-65B1-4C31-9D7D-923D23D41012},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{F88CAB22-65B1-4C31-9D7D-923D23D41012}"
"Citrix VDA All Users (including admins)","{F938D816-0410-422D-9E79-106F58C7A8A5}","9/9/2019 1:25:07 PM","5/13/2021 2:40:31 PM","CN={F938D816-0410-422D-9E79-106F58C7A8A5},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{F938D816-0410-422D-9E79-106F58C7A8A5}"
"Citrix VDA Computer Settings","{634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67}","9/9/2019 1:25:07 PM","5/13/2021 2:40:31 PM","CN={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67}"
"Citrix VDA Non-Admin Users (lockdown)","{7A0A5B01-60DD-4310-8651-997BA90525D3}","9/9/2019 1:25:07 PM","5/13/2021 2:40:31 PM","CN={7A0A5B01-60DD-4310-8651-997BA90525D3},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{7A0A5B01-60DD-4310-8651-997BA90525D3}"
"Citrix Xendesktop Computer Settings","{7C9DC804-CA54-443B-A0F0-B990525C3015}","9/9/2019 1:25:07 PM","5/13/2021 2:40:31 PM","CN={7C9DC804-CA54-443B-A0F0-B990525C3015},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{7C9DC804-CA54-443B-A0F0-B990525C3015}"
"Citrix Office 2016 Optimization","{704A9657-FEDF-4F09-B34F-EBD6D17F478E}","9/9/2019 1:25:07 PM","5/13/2021 2:40:31 PM","CN={704A9657-FEDF-4F09-B34F-EBD6D17F478E},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{704A9657-FEDF-4F09-B34F-EBD6D17F478E}"
"Citrix TSRedirect","{CCAA071E-2A5C-4EBA-87DB-12B64060EF97}","9/9/2019 1:25:07 PM","5/13/2021 2:40:31 PM","CN={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{CCAA071E-2A5C-4EBA-87DB-12B64060EF97}"
"Windows Update","{FC1E8C1A-796C-416D-B1F9-A419F0F1EEF9}","1/22/2020 9:04:46 PM","5/13/2021 2:40:31 PM","CN={FC1E8C1A-796C-416D-B1F9-A419F0F1EEF9},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{FC1E8C1A-796C-416D-B1F9-A419F0F1EEF9}"
"Citrix Desktop Folder MyDocs","{B65D0BAD-F897-4564-A0CB-A2E256230CF8}","2/12/2020 4:56:10 PM","5/13/2021 2:40:31 PM","CN={B65D0BAD-F897-4564-A0CB-A2E256230CF8},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{B65D0BAD-F897-4564-A0CB-A2E256230CF8}"
"Citrix Teams prevent auto-start","{EB2A00E4-65B6-4912-9638-22F321550574}","5/21/2021 2:12:06 PM","5/21/2021 2:17:28 PM","CN={EB2A00E4-65B6-4912-9638-22F321550574},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{EB2A00E4-65B6-4912-9638-22F321550574}"
"N-AbleMonitoring","{04B013D0-A5C7-4B8F-9A0E-FF4E57071B67}","11/28/2021 7:35:47 AM","8/17/2022 3:56:44 PM","CN={04B013D0-A5C7-4B8F-9A0E-FF4E57071B67},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{04B013D0-A5C7-4B8F-9A0E-FF4E57071B67}"
"N-AbleMonitoring_Install","{EFFE7C20-167D-4B35-A0AA-35E824CBB6F4}","12/2/2022 8:27:00 PM","12/2/2022 8:27:20 PM","CN={EFFE7C20-167D-4B35-A0AA-35E824CBB6F4},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{EFFE7C20-167D-4B35-A0AA-35E824CBB6F4}"
"RS_Citrix Graceful Logoff","{052582F5-BD5D-4BC6-8A67-79C31BE3AD01}","4/3/2023 1:23:21 PM","4/3/2023 3:43:59 PM","CN={052582F5-BD5D-4BC6-8A67-79C31BE3AD01},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{052582F5-BD5D-4BC6-8A67-79C31BE3AD01}"
"Citrix Delete Timebomb","{CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194}","7/25/2023 2:49:11 PM","7/25/2023 2:59:15 PM","CN={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194}"
